userid,start_busStop,start_busDes,start_roadDes,start_x,start_y,end_busStop,end_busDes,end_roadDes,end_x,end_y,userid,
477,54391,Jubilee,Ang Mo Kio Ave 8,103.8483,1.37162,63241,Blk 21,Hougang Ave 3,103.8921,1.364098,477,
478,28509,Blk 422,Jurong West Ave 1,103.7265,1.350035,18129,Ayer Rajah Ind Est,Buona Vista Flyover,103.7857,1.297762,478,
480,19071,Opp United World College,Dover Rd,103.7811,1.305155,11369,Opp Buona Vista Stn,Nth Buona Vista Rd,103.7908,1.306324,480,
499,46191,Opp Blk 120,Marsiling Rise,103.7805,1.439783,44229,Bef Pending Stn,Pending Rd,103.7715,1.376561,499,
502,50349,Blk 107,Towner Rd,103.8596,1.319305,83111,Blk 17,Jln Eunos,103.9053,1.323478,502,
505,84019,Opp Chai Chee Ind Pk,New Upp Changi Rd,103.9226,1.32222,4142,Armenian Ch,Hill St,103.8497,1.293089,505,
505,96059,Changi Ct,Upp Changi Rd East,103.9622,1.343513,84019,Opp Chai Chee Ind Pk,New Upp Changi Rd,103.9226,1.32222,505,
509,76241,Blk 497D,Tampines Ave 7,103.9592,1.358458,64629,Opp Blk 565,Buangkok Green,103.8881,1.38154,509,
511,54319,Opp Christ The King Ch,Ang Mo Kio Ave 8,103.8531,1.36206,70301,Aft Paya Lebar St,Upp Paya Lebar Rd,103.8858,1.339658,511,
515,6031,Opp Blk 13,Chin Swee Rd,103.8388,1.286071,6011,Opp Outram Pk Stn,Outram Rd,103.838,1.28166,515,
515,6031,Opp Blk 13,Chin Swee Rd,103.8388,1.286071,6011,Opp Outram Pk Stn,Outram Rd,103.838,1.28166,515,
530,16071,Opp Pasir Panjang PO,Pasir Panjang Rd,103.7711,1.291284,17159,Blk 365,C'wealth Ave West,103.7697,1.311999,530,
542,75261,Bet Blks 710/713,Tampines Ave 6,103.938,1.35802,76059,Opp Tampines Stadium,Tampines Ave 5,103.9417,1.352962,542,
549,52039,Aft Muhajirin Mque,Braddell Rd,103.8513,1.343348,54031,Opp Al-Muttaqin Mque,Ang Mo Kio Ave 6,103.8453,1.370086,549,
554,44201,Aft Petir Stn,Petir Rd,103.7673,1.377323,59141,Blk 741,Yishun Ave 5,103.8328,1.430344,554,
560,71091,Blk 637,Eunos Link,103.9037,1.33074,10169,Tiong Bahru Plaza,Tiong Bahru Rd,103.8275,1.286,560,
560,71091,Blk 637,Eunos Link,103.9037,1.33074,10169,Tiong Bahru Plaza,Tiong Bahru Rd,103.8275,1.286,560,
562,61061,Blk 148,Potong Pasir Ave 1,103.8682,1.332682,7371,Aft Kallang Rd,Lavender St,103.8635,1.309508,562,
563,43279,Opp Glendale Pk Condo,Hillview Rd,103.7659,1.362039,28621,Blk 241,Jurong East Ctrl,103.7436,1.341543,563,
588,50189,Opp Public Man,Balestier Rd,103.8485,1.326062,64201,Aft Hougang Ave 3,Tampines Rd,103.8942,1.361728,588,
599,92059,Bet Blks 72/74,Marine Parade Rd,103.9077,1.304251,3011,Fullerton Sq,Fullerton Rd,103.8533,1.285598,599,
