target,source,flow,distance,TargetBusstopName,SourceBusstopName
13101,82049,1,Long,River Valley Rd,Changi Rd
13119,10371,2,Long,Kim Seng Rd,Lower Delta Rd
13199,14209,1,Long,Paterson Rd,Depot Rd
13199,14379,1,Long,Paterson Rd,Lower Delta Rd
14009,11151,1,Long,Seah Im Rd,C'wealth Ave
14009,18049,1,Long,Seah Im Rd,AYE
14039,14221,1,Short,Lower Delta Rd,Kg Bahru Rd
14041,14351,1,Short,Henderson Rd,Telok Blangah Dr
14041,14169,1,Short,Henderson Rd,Telok Blangah Rd
14119,14249,1,Short,Telok Blangah Rd,Henderson Rd
14121,16009,1,Long,Telok Blangah Rd,Clementi Rd
14129,10119,1,Short,Telok Blangah Rd,Jln Bt Merah
14139,82099,1,Long,Telok Blangah Rd,Tg Katong Rd
14141,10041,1,Short,Telok Blangah Rd,Kg Bahru Rd
14141,64629,1,Long,Telok Blangah Rd,Buangkok Green
14141,64331,1,Long,Telok Blangah Rd,Hougang Ave 4
14141,15161,1,Long,Telok Blangah Rd,Pasir Panjang Rd
14141,17149,1,Long,Telok Blangah Rd,AYE
14199,10371,1,Short,Depot Rd,Lower Delta Rd
14209,10071,1,Short,Depot Rd,Jln Bt Merah
14209,11519,1,Long,Depot Rd,Alexandra Rd
14239,10009,1,Short,Kg Bahru Rd,Bt Merah Ctrl
14239,54219,1,Long,Kg Bahru Rd,Ang Mo Kio Ave 3
14241,11139,1,Long,Henderson Rd,C'wealth Ave
14249,14141,1,Short,Henderson Rd,Telok Blangah Rd
14249,8121,1,Long,Henderson Rd,Somerset Rd
15041,11021,1,Short,Alexandra Rd,Queensway
15041,28109,1,Long,Alexandra Rd,Toh Tuck Ave
15041,46549,1,Long,Alexandra Rd,Woodlands Ave 3
15041,10201,1,Long,Alexandra Rd,Tiong Bahru Rd
15051,18079,2,Short,Alexandra Rd,Buona Vista Flyover
15131,12199,1,Long,Sth Buona Vista Rd,Mt Sinai Rise
15159,14161,1,Long,Pasir Panjang Rd,Telok Blangah Rd
15169,14059,1,Long,Pasir Panjang Rd,Henderson Rd
15191,11361,1,Short,Pasir Panjang Rd,Nth Buona Vista Rd
15229,10231,1,Long,Pasir Panjang Rd,Ganges Ave
16011,17039,1,Long,Pasir Panjang Rd,West Coast Rd
16019,15219,1,Short,Pasir Panjang Rd,Pasir Panjang Rd
16061,46831,1,Long,Pasir Panjang Rd,Woodlands Circle
16061,43471,1,Long,Pasir Panjang Rd,Bt Batok West Ave 2
16061,21599,1,Long,Pasir Panjang Rd,Corporation Dr
16069,14161,1,Long,Pasir Panjang Rd,Telok Blangah Rd
16091,28511,1,Long,AYE,Jurong West Ave 1
16111,17179,1,Long,Science Pk Rd,C'wealth Ave West
16121,22449,1,Long,Science Pk Rd,Jurong West St 64
16159,5019,1,Long,Clementi Rd,New Bridge Rd
16209,16221,1,Short,Pasir Panjang Rd,West Coast Highway
16239,98019,1,Long,West Coast Highway,Loyang Ave
17041,20159,1,Long,West Coast Rd,West Coast Rd
17041,20239,1,Long,West Coast Rd,Teban Gdns Rd
17041,20191,1,Long,West Coast Rd,Pandan Gdns
17091,12119,1,Long,Clementi Rd,Ulu Pandan Rd
17129,17191,1,Short,AYE,Clementi Rd
17149,64601,1,Long,AYE,Hougang Ave 4
17159,16071,1,Long,C'wealth Ave West,Pasir Panjang Rd
17171,20109,1,Short,C'wealth Ave West,C'wealth Ave West
17171,17379,1,Short,C'wealth Ave West,Clementi Ave 6
17171,42259,1,Long,C'wealth Ave West,Jln Jurong Kechil
17171,7529,1,Long,C'wealth Ave West,Jln Besar
17171,20199,1,Long,C'wealth Ave West,Pandan Gdns
17171,53351,1,Long,C'wealth Ave West,Sin Ming Ave
17171,13121,1,Long,C'wealth Ave West,Zion Rd
17179,3217,1,Long,C'wealth Ave West,Shenton Way
17179,16009,2,Long,C'wealth Ave West,Clementi Rd
17219,62041,1,Long,Clementi Ave 4,Upp Paya Lebar Rd
17259,17121,1,Short,Clementi Ave 2,AYE
17321,17329,1,Short,West Coast Highway,West Coast Highway
17321,28459,1,Long,West Coast Highway,Jurong East Ave 1
17329,28701,1,Short,West Coast Highway,Toh Tuck Link
18071,20199,1,Long,Buona Vista Flyover,Pandan Gdns
18079,10081,1,Long,Buona Vista Flyover,Jln Bt Merah
18101,11189,1,Short,Buona Vista Flyover,C'wealth Ave
18101,43239,1,Long,Buona Vista Flyover,Hillview Ave
18121,76249,1,Long,Buona Vista Flyover,Tampines Ave 7
18129,28509,1,Long,Buona Vista Flyover,Jurong West Ave 1
18269,15139,1,Short,Science Pk Dr,Sth Buona Vista Rd
19029,14121,1,Long,C'wealth Ave West,Telok Blangah Rd
19031,64359,1,Long,C'wealth Ave West,Hougang Ave 8
19039,18119,1,Short,C'wealth Ave West,Dover Rd
19039,28639,1,Long,C'wealth Ave West,Toh Guan Rd
19051,28431,2,Long,Dover Rd,Jurong East Ctrl
19089,4111,1,Long,Dover Rd,Stamford Rd
19091,53169,1,Long,Dover Ave,Marymount Rd
20021,20059,2,Long,AYE,AYE
21211,52339,1,Long,Corporation Rd,Lor 6 Toa Payoh
21241,17239,1,Long,Boon Lay Ave,Clementi Ave 3
21261,21429,1,Short,Quality Rd,Boon Lay Ave
21311,21439,1,Long,Jln Boon Lay,Boon Lay Pl
21361,43171,1,Long,Jln Boon Lay,Bt Batok East Ave 3
21399,28501,1,Short,Boon Lay Ave,Jurong West Ave 1
21421,11141,1,Long,Boon Lay Ave,C'wealth Ave
21441,28009,1,Long,Boon Lay Pl,Jurong Gateway Rd
21551,58161,1,Long,Yung Ho Rd,Admiralty Rd West
21661,21669,1,Short,Yuan Ching Rd,Yuan Ching Rd
22009,21389,1,Short,Jurong West Ctrl 3,Jurong West Ave 3
22009,14141,1,Long,Jurong West Ctrl 3,Telok Blangah Rd
22009,20141,1,Long,Jurong West Ctrl 3,West Coast Rd
22009,27221,1,Long,Jurong West Ctrl 3,Nanyang Dr
22259,22259,1,Short,Jurong West St 62,Jurong West St 62
22319,18071,1,Long,Wan Lee Rd,Buona Vista Flyover
22401,84629,1,Long,Tg Kling Rd,Bedok Reservoir Rd
22489,27109,1,Short,Jurong West Ctrl 1,Jln Bahar
25191,67191,1,Long,Tuas Ave 1,Compassvale Rd
26261,44291,1,Long,Tuas Sth Ave 3,Teck Whye Ave
27141,11451,1,Long,Jurong West St 91,C'wealth Dr
27209,21371,1,Long,Nanyang Ave,Jln Boon Lay
27231,21591,1,Long,Nanyang Dr,Corporation Dr
27301,27461,1,Short,Pioneer Rd Nth,Jurong West Ave 3
