userid,start_busStop,start_roadDes,start_y,start_x,end_busStop,end_roadDes,end_y,end_x
391,Buangkok Link,Blk 980C,1.379775,103.8814,Hougang Ave 9,Blk 917,1.374548,103.884
395,S'goon Ave 2,Blk 238,1.353553,103.8682,S'goon Ave 2,Opp Blk 334,1.350922,103.8711
395,Bt Timah Rd,Little India Stn,1.306644,103.8492,S'goon Ave 2,Opp Blk 334,1.350922,103.8711
397,Pasir Ris St 71,Opp Blks 771/772,1.375547,103.9375,Pasir Ris Dr 8,Aft Pasir Ris St 53,1.373238,103.9483
397,Nth Bridge Rd,St. Andrew's Cath,1.2925,103.8515,Pasir Ris Dr 8,Aft Pasir Ris St 53,1.373238,103.9483
400,Jln Bt Merah,Opp Blk 28,1.285928,103.8094,Lor 6 Toa Payoh,Blk 1,1.33976,103.853
402,Clementi Rd,Ngee Ann Poly,1.332439,103.7777,Jln Toa Payoh,Trellis Twrs,1.329914,103.8438
412,Eu Tong Sen St,People's Pk Ctr,1.285711,103.8444,Tampines Ave 7,Opp Tampines JC,1.356467,103.9575
416,Amber Rd,Amber Gdn,1.301784,103.901,Temasek Blvd,Suntec Convention Ctr,1.293178,103.8578
416,Amber Rd,Amber Gdn,1.301784,103.901,Temasek Blvd,Suntec Convention Ctr,1.293178,103.8578
418,Eu Tong Sen St,Pearl's Ctr,1.281546,103.8409,Bt Timah Rd,Little India Stn,1.306064,103.8491
450,Punggol Ctrl,Blk 649,1.396952,103.9148,Sembawang Rd,Forest Hills Condo,1.404141,103.8183
462,Hougang St 51,Blk 537,1.37798,103.8895,Airport Rd,Opp Gordon Warehse Bldg,1.339139,103.8968
477,Ang Mo Kio Ave 8,Jubilee,1.37162,103.8483,Hougang Ave 3,Blk 21,1.364098,103.8921
478,Jurong West Ave 1,Blk 422,1.350035,103.7265,Buona Vista Flyover,Ayer Rajah Ind Est,1.297762,103.7857
480,Dover Rd,Opp United World College,1.305155,103.7811,Nth Buona Vista Rd,Opp Buona Vista Stn,1.306324,103.7908
499,Marsiling Rise,Opp Blk 120,1.439783,103.7805,Pending Rd,Bef Pending Stn,1.376561,103.7715
502,Towner Rd,Blk 107,1.319305,103.8596,Jln Eunos,Blk 17,1.323478,103.9053
505,New Upp Changi Rd,Opp Chai Chee Ind Pk,1.32222,103.9226,Hill St,Armenian Ch,1.293089,103.8497
505,Upp Changi Rd East,Changi Ct,1.343513,103.9622,New Upp Changi Rd,Opp Chai Chee Ind Pk,1.32222,103.9226
509,Tampines Ave 7,Blk 497D,1.358458,103.9592,Buangkok Green,Opp Blk 565,1.38154,103.8881
511,Ang Mo Kio Ave 8,Opp Christ The King Ch,1.36206,103.8531,Upp Paya Lebar Rd,Aft Paya Lebar St,1.339658,103.8858
515,Chin Swee Rd,Opp Blk 13,1.286071,103.8388,Outram Rd,Opp Outram Pk Stn,1.28166,103.838
515,Chin Swee Rd,Opp Blk 13,1.286071,103.8388,Outram Rd,Opp Outram Pk Stn,1.28166,103.838
530,Pasir Panjang Rd,Opp Pasir Panjang PO,1.291284,103.7711,C'wealth Ave West,Blk 365,1.311999,103.7697
542,Tampines Ave 6,Bet Blks 710/713,1.35802,103.938,Tampines Ave 5,Opp Tampines Stadium,1.352962,103.9417
549,Braddell Rd,Aft Muhajirin Mque,1.343348,103.8513,Ang Mo Kio Ave 6,Opp Al-Muttaqin Mque,1.370086,103.8453
554,Petir Rd,Aft Petir Stn,1.377323,103.7673,Yishun Ave 5,Blk 741,1.430344,103.8328
560,Eunos Link,Blk 637,1.33074,103.9037,Tiong Bahru Rd,Tiong Bahru Plaza,1.286,103.8275
560,Eunos Link,Blk 637,1.33074,103.9037,Tiong Bahru Rd,Tiong Bahru Plaza,1.286,103.8275
562,Potong Pasir Ave 1,Blk 148,1.332682,103.8682,Lavender St,Aft Kallang Rd,1.309508,103.8635
563,Hillview Rd,Opp Glendale Pk Condo,1.362039,103.7659,Jurong East Ctrl,Blk 241,1.341543,103.7436
588,Balestier Rd,Opp Public Man,1.326062,103.8485,Tampines Rd,Aft Hougang Ave 3,1.361728,103.8942
599,Marine Parade Rd,Bet Blks 72/74,1.304251,103.9077,Fullerton Rd,Fullerton Sq,1.285598,103.8533
599,Marine Parade Rd,Bet Blks 72/74,1.304251,103.9077,Fullerton Rd,Fullerton Sq,1.285598,103.8533
616,Bedok Nth Rd,Blk 81,1.328614,103.94,Paya Lebar Rd,Opp MacPherson Stn,1.324987,103.8908
617,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.381132,103.8456,Woodlands Rd,Kranji Stn,1.42526,103.7618
620,Marine Parade Rd,Neptune Ct,1.307876,103.9211,Upp Thomson Rd,Opp Thomson Plaza,1.3554,103.8315
620,Marine Parade Rd,Neptune Ct,1.307876,103.9211,Bt Timah Rd,Little India Stn,1.306064,103.8491
624,Geylang East Ctrl,Opp Geylang Polyclinic,1.318771,103.8867,Mountbatten Rd,Opp Mountbatten Voc Sch,1.307118,103.8799
633,Tampines Ave 1,Temasek Poly East G,1.344986,103.9368,Ubi Ave 2,Blk 3019,1.327335,103.8921
641,Yishun Ring Rd,Evangel Family Ch,1.426639,103.8464,Yishun Ring Rd,Opp Blk 798,1.418493,103.8329
644,Bt Panjang Rd,Blk 604,1.380334,103.7623,Tiong Bahru Rd,Redhill Stn,1.289546,103.8167
652,Upp Changi Rd East,Changi Ct,1.343513,103.9622,Simei St 3,Aft Changi General Hosp,1.340426,103.9512
655,Lor 6 Toa Payoh,Blk 27,1.332464,103.8558,Bedok Nth Rd,Fengshan Pr Sch,1.330917,103.9323
658,Petir Rd,Aft Petir Stn,1.377323,103.7673,Victoria St,Cath Of The Good Shepherd,1.295338,103.8511
663,Jurong West St 64,Blk 685B,1.342762,103.7038,Science Pk Rd,Galen,1.286511,103.7834
665,Punggol Ctrl,Blk 298,1.403202,103.9056,Punggol Pl,Punggol Temp Int,1.403706,103.9022
670,Upp Aljunied Rd,Aft Upp Serangoon Rd,1.339583,103.8721,Circuit Rd,Blk 79 FC,1.326208,103.8851
670,Bartley Rd,Bef Upp Paya Lebar Rd,1.342099,103.8816,Simei Ave,Opp Changi General Hosp,1.339417,103.9485
672,Hougang Ave 4,Blk 508,1.371436,103.8881,Telok Blangah Rd,VivoCity,1.265514,103.8221
676,Pasir Panjang Rd,PSA Bldg,1.273419,103.8006,Mountbatten Rd,One Amber,1.302378,103.899
678,Whitley Rd,Aft Tanglin CC,1.322554,103.8262,Queensway,Blk 97,1.306213,103.8017
690,Woodlands Ave 3,Blk 320,1.4321,103.7782,Woodlands Ctr Rd,Marsiling Pr Sch,1.434382,103.7726
692,Jln Damai,Opp Blk 668,1.333319,103.9095,Lor 1 Toa Payoh,Opp Philips S'pore,1.336405,103.8436
702,Bt Batok St 33,Blk 324,1.361954,103.7475,Woodlands Rd,Chartered Semi-C Bldg,1.438754,103.7666
720,Tampines Ave 2,Blk 101,1.347944,103.9456,New Upp Changi Rd,Blk 221A,1.324691,103.9347
725,Ang Mo Kio Ave 4,Blk 641,1.3789,103.84,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.381132,103.8456
735,Hougang Ave 10,Blk 831,1.371454,103.8898,Hougang Ave 4,Blk 508,1.371436,103.8881
735,Hougang Ave 10,Blk 831,1.371454,103.8898,Upp Paya Lebar Rd,Asiawide Ind Bldg,1.337435,103.8871
738,Depot Rd,Aft Hewlett Packard,1.281761,103.8096,Nth Bridge Rd,Opp Peninsula Plaza,1.292082,103.8513
744,Upp Paya Lebar Rd,Asiawide Ind Bldg,1.337435,103.8871,Marymount Rd,Marymount Stn,1.350167,103.8395
756,Tampines Rd,Aft Defu Ave 1,1.36147,103.8945,Ang Mo Kio Ave 5,ITE College Ctrl,1.375995,103.8558
768,Clementi Rd,Opp SIM HQ,1.32803,103.7768,Kaki Bt Ave 1,Blk 151,1.336013,103.9121
768,Hougang Ave 8,Montfort Sch,1.375287,103.8892,C'wealth Ave West,Dover Stn,1.311234,103.7784
788,Simei St 4,Simei Green,1.341261,103.9572,Simei St 3,Simei Stn,1.342262,103.9535
791,Buona Vista Flyover,NUH,1.295408,103.7845,Wan Lee Rd,Chun Chun Mfg,1.331981,103.7055
808,Henderson Rd,Blk 54,1.273273,103.8125,Tiong Bahru Rd,Opp Redhill Stn,1.289281,103.8166
808,Jurong West Ctrl 3,Boon Lay Int,1.339323,103.7055,Tiong Bahru Rd,Opp Redhill Stn,1.289281,103.8166
816,Airport Rd,Opp Blk 1022,1.334677,103.8924,Old Airport Rd,Blk 22,1.307261,103.8849
819,Jln Bahar,Opp Westville,1.353095,103.7008,Jurong West Ctrl 1,Blk 683A,1.342585,103.7054
820,Hougang St 92,Blk 941A,1.37424,103.8788,Yio Chu Kang Rd,Blk 953,1.376792,103.8771
837,Upp Thomson Rd,Opp Windsor Pk,1.357772,103.8289,Thomson Rd,SLF Cplx,1.333821,103.838
839,Changi Rd,Aft GE Life Ctr,1.317095,103.903,Chai Chee St,Opp Blks 50/51,1.328333,103.9229
839,Jln Eunos,Eunos Stn,1.320656,103.9049,Palmer Rd,Aft Shenton Way,1.273235,103.8473
857,Yio Chu Kang Rd,Bef Blk 965,1.37996,103.8769,Tampines Rd,Aft Defu Ave 1,1.36147,103.8945
857,Buangkok Link,Blk 980C,1.379775,103.8814,Yio Chu Kang Rd,Bef Blk 965,1.37996,103.8769
883,Pasir Panjang Rd,Pasir View Pk,1.278181,103.787,Pasir Panjang Rd,Haw Par Villa Stn,1.282781,103.7822
883,Pasir Panjang Rd,Pasir Panjang Ctr,1.274438,103.7967,Telok Blangah Rd,VivoCity,1.265514,103.8221
909,Temasek Ave,Opp Millenia Twr,1.292526,103.8609,River Valley Rd,Opp Mohd Sultan Rd,1.294142,103.8423
912,Ang Mo Kio Ave 10,Blk 540,1.374878,103.8548,Upp S'goon Rd,Serangoon Stn,1.349046,103.8734
912,Ang Mo Kio Ave 10,Blk 540,1.374878,103.8548,Upp S'goon Rd,Serangoon Stn,1.349046,103.8734
921,Upp Thomson Rd,Opp Flame Tree Pk,1.360633,103.8283,Bishan St 22,Bishan Nth Shop Mall,1.358304,103.845
943,Yio Chu Kang Rd,NCS Hub,1.389157,103.8438,Toa Payoh Ctrl,Opp Blk 177,1.334305,103.8488
943,Hougang Ave 3,Blk 21,1.364098,103.8921,Yio Chu Kang Rd,NCS Hub,1.389157,103.8438
951,Ganges Ave,Opp Blk 79,1.290416,103.8279,Tiong Bahru Rd,Blk 55,1.28476,103.8341
951,Ganges Ave,Opp Blk 79,1.290416,103.8279,Alexandra Rd,Alexandra Hosp,1.285947,103.8025
956,Airline Rd,Opp SIA Hangar,1.377898,103.9964,Punggol Ctrl,Blk 649,1.396952,103.9148
958,Bendemeer Rd,Blk 44,1.322049,103.8663,Orchard Rd,Midpoint Orchard,1.301543,103.8385
962,Sin Ming Ave,Ai Tong Sch,1.36081,103.8321,Holland Rd,Holland Village,1.312232,103.7944
982,Ang Mo Kio Ave 6,Aft Blk 304,1.366187,103.8442,Thomson Rd,Macritchie Reservoir,1.342193,103.836
1006,Yio Chu Kang Link,Serangoon Sports Cplx,1.356632,103.8741,S'goon Ctrl,Serangoon Stn,1.350498,103.8732
1008,C'wealth Dr,Blk 72,1.30035,103.7971,Clementi Rd,Opp SIM HQ,1.32803,103.7768
1008,C'wealth Dr,Blk 72,1.30035,103.7971,Jurong West St 91,Blk 920,1.339704,103.6877
1009,Cross St,Opp PWC Bldg,1.281795,103.8489,Tiong Bahru Rd,Blk 55,1.28476,103.8341
1009,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598,103.8112,Middle Rd,Opp Prime Ctr,1.300634,103.8511
1017,Pasir Ris Dr 1,Blk 425,1.369361,103.9551,Loyang Ave,Loyang Valley,1.369551,103.9706
1021,Lavender St,Aft Kallang Rd,1.309508,103.8635,Victoria St,St. Joseph's Ch,1.29771,103.8532
1021,Victoria St,Hotel Grand Pacific,1.296848,103.8525,Lavender St,Bef Kallang Rd,1.310173,103.8634
1030,Pending Rd,Bef Pending Stn,1.376561,103.7715,Whitley Rd,Raffles Town Club,1.322148,103.8257
1030,Pending Rd,Bef Pending Stn,1.376561,103.7715,Thomson Rd,Macritchie Reservoir,1.342193,103.836
1038,Braddell Rd,Aft Muhajirin Mque,1.343348,103.8513,Braddell Rd,Opp Blk 1004,1.344313,103.8477
1039,Choa Chu Kang Way,Blk 239,1.379243,103.7475,Clementi Rd,Opp Blk 109A,1.321305,103.771
1041,Yio Chu Kang Rd,Aft Serangoon Nth Ave 1,1.36328,103.8738,Selegie Rd,Peace Ctr,1.300999,103.8498
1042,Nicoll Highway,Suntec City,1.295962,103.8579,Temasek Blvd,Suntec Convention Ctr,1.293178,103.8578
1042,Bt Timah Rd,Little India Stn,1.306644,103.8492,Nth Bridge Rd,St. Andrew's Cath,1.2925,103.8515
1045,Teck Whye Lane,Blk 108,1.378526,103.7532,Choa Chu Kang Way,Blk 352,1.382571,103.743
1046,Bishan St 11,Blk 115,1.348168,103.8485,Kaki Bt Ave 1,Kaki Bt Ind Est,1.33344,103.9041
1050,Fernvale Lane,Opp Blk 405C,1.389664,103.8733,Sengkang Sq,Sengkang Int,1.391781,103.8959
1056,Upp Paya Lebar Rd,Opp Bethany Presby Ch,1.348383,103.8802,Victoria St,Opp Bugis Junction,1.300155,103.8552
1059,Tampines Ave 1,SAFRA Tampines,1.344712,103.9402,Marine Parade Rd,Opp Parkway Parade,1.302692,103.905
1062,Ubi Ave 2,Blk 3019,1.327335,103.8921,Jln Toa Payoh,St. Andrew's Jnr Sch,1.329312,103.8663
1065,Bedok Sth Rd,Blk 40,1.320681,103.94,New Upp Changi Rd,Tanah Merah Stn,1.327006,103.9464
1082,Yio Chu Kang Rd,Bef Tai Seng Chr Ch,1.359993,103.8739,Paya Lebar Rd,Paya Lebar Stn,1.318602,103.8921
1088,C'wealth Ave,C'wealth Stn,1.302133,103.7984,Boon Lay Way,Lakeside Stn,1.344258,103.7201
1088,Boon Lay Pl,Boon Lay CC,1.348423,103.7117,Jln Boon Lay,Bef Tractor Rd,1.323205,103.7096
1094,Punggol Rd,The Rivervale,1.381512,103.8975,Sengkang East Ave,Opp Blk 101,1.382125,103.8993
1098,Woodlands Ave 9,Blk 774,1.447969,103.7984,Woodlands Ave 7,Opp Admiralty Stn,1.440888,103.8002
1120,Beach Rd,Opp The Gateway,1.299198,103.8586,Upp Thomson Rd,Bef Thomson Ridge,1.353078,103.8344
1126,Ang Mo Kio Ave 5,Blk 538,1.375793,103.8532,Ang Mo Kio Ave 6,Bef Al-Muttaqin Mque,1.370918,103.8456
1142,Ang Mo Kio Ave 3,Opp Ang Mo Kio Pr Sch,1.369956,103.8396,Marymount Rd,Marymount Stn,1.350167,103.8395
1149,Tampines Ctrl 1,Tampines Int,1.354076,103.9434,Airline Rd,3rd Cargo Agents,1.375283,103.9962
1163,Jurong West St 51,Blk 458,1.349749,103.7197,Jurong Town Hall Rd,S'pore Science Ctr,1.333828,103.737
1169,Pioneer Rd Nth,Blk 653B,1.336491,103.6963,Toh Tuck Ave,Opp SMRT Ulu Pandan Depot,1.333124,103.7591
1187,Yishun Ring Rd,Blk 774,1.423715,103.8317,Yishun Ave 4,Blk 654,1.422806,103.8407
1190,Jurong West Ave 1,Blk 463,1.350636,103.7237,AYE,Opp ITE Dover,1.299397,103.7792
1208,Holland Rd,Bef Moonbeam Walk,1.319076,103.7824,Jln Anak Bt,Opp Beauty World Ctr,1.343269,103.7769
1213,Guillemard Rd,Bef S'pore Badminton Assn,1.310546,103.8832,Upp East Coast Rd,Calvary Ably Of God Ch,1.315363,103.9429
1215,Ubi Ave 2,Blk 3019,1.327335,103.8921,Tampines Ave 2,Tampines East CC,1.353033,103.9548
1217,C'wealth Ave West,Clementi Stn,1.315286,103.7654,Woodlands Ave 7,Opp Admiralty Stn,1.440888,103.8002
1217,Woodlands Circle,Blk 747A CP,1.443645,103.7956,Pasir Panjang Rd,Opp Heng Mui Keng Terr,1.290463,103.7736
1222,Yishun Ring Rd,Blk 456,1.420264,103.8439,Jln Kayu,Jln Kayu Shophouse,1.39705,103.8731
1226,S'goon Rd,Kwong Wai Shiu Hosp,1.317834,103.86,Bendemeer Rd,Opp Blk 28,1.318897,103.8642
1230,Pasir Ris Dr 3,Opp Loyang Pt,1.367268,103.9656,Hougang Ave 10,Opp Blk 521,1.372872,103.8917
1242,Pandan Gdns,Blk 410,1.319081,103.7482,Buona Vista Flyover,NUH,1.295408,103.7845
1243,Bt Panjang Rd,Blk 270,1.376082,103.7743,Rochor Rd,Fu Lu Shou Cplx,1.30172,103.8546
1243,Bt Panjang Rd,Opp Lompang Rd,1.381174,103.7659,Orchard Turn,Orchard Stn,1.303237,103.8325
1254,Pasir Ris Dr 3,Blk 479,1.375458,103.958,Pasir Ris Dr 3,Opp Downtown East,1.375066,103.954
1257,Hougang Ave 9,Blk 917,1.374548,103.884,Sengkang East Rd,Opp Blk 323B,1.39231,103.8935
1258,Tampines Ave 9,Opp Tampines JC,1.357915,103.9554,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.381132,103.8456
1263,Hougang Ave 8,Opp Xinmin Pr Sch,1.370638,103.8824,S'goon Rd,Boon Keng Stn,1.320088,103.8618
1264,Jln Bt Merah,Opp Bt Merah Town Ctr,1.284209,103.8177,Shenton Way,UIC Bldg,1.27807,103.8496
1280,Woodlands Rd,Opp Digiland,1.403407,103.7562,Choa Chu Kang Ave 4,Lot 1 Shoppers' Mall,1.384631,103.745
1281,Hougang Ave 4,Blk 681,1.373392,103.8852,Tampines Link,Golden Pagoda Tp,1.368511,103.9301
1282,Bedok Reservoir Rd,Blk 609,1.332003,103.912,East Coast Rd,Christ Meth Ch,1.309803,103.916
1282,Bedok Reservoir Rd,Blk 609,1.332003,103.912,Thomson Rd,Opp Tan Tong Meng Twr,1.327704,103.841
1285,Telok Blangah Rd,VivoCity,1.265514,103.8221,Jurong West Ctrl 3,Boon Lay Int,1.339323,103.7055
1288,Victoria St,Opp Bugis Junction,1.300155,103.8552,New Upp Changi Rd,Bedok Stn,1.324283,103.93
1291,Jln Toa Payoh,Opp Trellis Twrs,1.329315,103.8438,Bt Batok East Ave 3,Blk 283,1.34695,103.7568
1291,Bt Batok East Ave 3,Blk 289E,1.34399,103.7587,Bt Timah Rd,The Nexus,1.334425,103.7869
